Date,Total,Cash,Hold Number,Code
2016-02-01,1000000,1000000,0,NA
2016-02-02,1000000,1000000,0,NA
2016-02-03,1000000,1000000,0,NA
2016-02-04,1000000,1000000,0,NA
2016-02-05,1000000,1000000,0,NA
2016-02-15,999000.85,-146.68,999,NA
2016-02-16,1039161.92,-146.68,999,399006
2016-02-17,1045494.27,-146.68,999,399006
2016-02-18,1033963.31,-146.68,999,399006
2016-02-19,1043448.15,-146.68,999,399006
2016-02-22,1059759.52,-146.68,999,399006
2016-02-23,1045758.53,1045758.53,2046,399006
2016-02-24,1045758.53,1045758.53,2046,NA
2016-02-25,1045758.53,1045758.53,2046,NA
2016-02-26,1045758.53,1045758.53,2046,NA
2016-02-29,1045758.53,1045758.53,2046,NA
2016-03-01,1045758.53,1045758.53,2046,NA
2016-03-02,1044714.98,1159.09,3090,NA
2016-03-03,1045047.71,-679.21,5181,399008
2016-03-04,1012926.55,1224.52,7209,399300
2016-03-07,1016507.20,1224.52,7209,399300
2016-03-08,1017433.60,1224.52,7209,399300
2016-03-09,1005738.11,1224.52,7209,399300
2016-03-10,986523.27,1224.52,7209,399300
2016-03-11,988203.39,1224.52,7209,399300
2016-03-14,1003705.15,1224.52,7209,399300
2016-03-15,1006677.58,1224.52,7209,399300
2016-03-16,1011665.32,1224.52,7209,399300
2016-03-17,1022839.23,1224.52,7209,399300
2016-03-18,1038456.43,1224.52,7209,399300
2016-03-21,1063790.42,1224.52,7209,399300
2016-03-22,1056057.85,1224.52,7209,399300
2016-03-23,1059426.61,1224.52,7209,399300
2016-03-24,1041689.80,1224.52,7209,399300
2016-03-25,1044821.22,1044.71,9298,399006
2016-03-28,1037096.35,1044.71,9298,399006
2016-03-29,1014894.82,1044.71,9298,399006
2016-03-30,1060221.51,1044.71,9298,399006
2016-03-31,1055277.42,1044.71,9298,399006
2016-04-01,1039773.51,1044.71,9298,399006
2016-04-05,1074698.63,1044.71,9298,399006
2016-04-06,1082951.03,1044.71,9298,399006
2016-04-07,1060174.88,1044.71,9298,399006
2016-04-08,1051343.63,1044.71,9298,399006
2016-04-11,1076405.07,1044.71,9298,399006
2016-04-12,1067396.25,1044.71,9298,399006
2016-04-13,1081525.78,1044.71,9298,399006
2016-04-14,1095834.29,1044.71,9298,399006
2016-04-15,1086727.17,-360.57,11473,399008
2016-04-18,1071958.91,-360.57,11473,399008
2016-04-19,1075679.01,-360.57,11473,399008
2016-04-20,1028439.77,1028439.77,12503,399008
2016-04-21,1028439.77,1028439.77,12503,NA
2016-04-22,1028439.77,1028439.77,12503,NA
2016-04-25,1028439.77,1028439.77,12503,NA
2016-04-26,1027412.90,543.90,13530,NA
2016-04-27,1021090.13,-951.87,15574,399008
2016-04-28,1018382.82,1018382.82,16595,399008
2016-04-29,1018382.82,1018382.82,16595,NA
