Date,Total,Cash,Hold Number,Code
2015-02-02,999000.57,-431.71,999,NA
2015-02-03,1030851.92,-431.71,999,399006
2015-02-04,1034876.56,-431.71,999,399006
2015-02-05,1044638.05,-431.71,999,399006
2015-02-06,1019107.26,-431.71,999,399006
2015-02-09,1006077.99,-431.71,999,399006
2015-02-10,1028948.86,-431.71,999,399006
2015-02-11,1043773.99,-431.71,999,399006
2015-02-12,1053176.79,-431.71,999,399006
2015-02-13,1074780.72,-431.71,999,399006
2015-02-16,1116682.18,-431.71,999,399006
2015-02-17,1113084.73,-964.16,3229,399610
2015-02-25,1090917.52,528.67,5414,399006
2015-02-26,1093034.10,528.67,5414,399006
2015-02-27,1120722.24,528.67,5414,399006
2015-03-02,1154967.54,528.67,5414,399006
2015-03-03,1140301.36,528.67,5414,399006
2015-03-04,1168238.16,528.67,5414,399006
2015-03-05,1171119.34,528.67,5414,399006
2015-03-06,1134290.91,528.67,5414,399006
2015-03-09,1159269.26,528.67,5414,399006
2015-03-10,1188860.76,528.67,5414,399006
2015-03-11,1183345.32,528.67,5414,399006
2015-03-12,1173063.37,528.67,5414,399006
2015-03-13,1202659.51,528.67,5414,399006
2015-03-16,1245421.11,528.67,5414,399006
2015-03-17,1242394.10,528.67,5414,399006
2015-03-18,1268804.61,528.67,5414,399006
2015-03-19,1269361.79,528.67,5414,399006
2015-03-20,1286726.72,528.67,5414,399006
2015-03-23,1333138.74,528.67,5414,399006
2015-03-24,1370508.66,528.67,5414,399006
2015-03-25,1386221.81,528.67,5414,399006
2015-03-26,1332058.08,528.67,5414,399006
2015-03-27,1350666.93,528.67,5414,399006
2015-03-30,1328635.13,-697.85,8074,399008
2015-03-31,1337346.81,-697.85,8074,399008
2015-04-01,1375458.75,-697.85,8074,399008
2015-04-02,1405717.23,-697.85,8074,399008
2015-04-03,1422886.31,-374.41,10923,399006
2015-04-07,1446375.99,-1339.61,13821,399008
2015-04-08,1420903.56,-1339.61,13821,399008
2015-04-09,1398911.15,-1339.61,13821,399008
2015-04-10,1434111.56,-578.34,16694,399006
2015-04-13,1445237.29,-541.49,19588,399008
2015-04-14,1438967.05,-541.49,19588,399008
2015-04-15,1383728.19,-541.49,19588,399008
2015-04-16,1397951.69,-1247.57,22389,399300
2015-04-17,1423554.59,-1247.57,22389,399300
2015-04-20,1400547.32,-1247.57,22389,399300
2015-04-21,1430693.27,-1247.57,22389,399300
2015-04-22,1468094.77,-1247.57,22389,399300
2015-04-23,1468428.95,-1247.57,22389,399300
2015-04-24,1453658.44,-1228.56,25302,399006
2015-04-27,1457521.47,821.10,28220,399300
2015-04-28,1434732.82,-645.30,31092,399006
2015-04-29,1493232.52,-645.30,31092,399006
2015-04-30,1525467.96,-645.30,31092,399006
2015-05-04,1515686.98,2760.82,34124,399300
2015-05-05,1452455.76,-501.49,37030,399006
2015-05-06,1485401.79,-501.49,37030,399006
2015-05-07,1464255.05,-501.49,37030,399006
2015-05-08,1551715.62,-501.49,37030,399006
2015-05-11,1642143.77,-501.49,37030,399006
2015-05-12,1696153.02,-501.49,37030,399006
2015-05-13,1665799.25,-501.49,37030,399006
2015-05-14,1639410.06,-501.49,37030,399006
2015-05-15,1641363.38,-501.49,37030,399006
2015-05-18,1710866.64,-501.49,37030,399006
2015-05-19,1733986.54,-501.49,37030,399006
2015-05-20,1777578.76,-501.49,37030,399006
2015-05-21,1840808.10,-501.49,37030,399006
2015-05-22,1835177.81,-501.49,37030,399006
2015-05-25,1806138.42,4149.51,40642,399610
2015-05-26,1874316.79,73.13,44390,399006
2015-05-27,1875969.65,-468.28,48146,399008
2015-05-28,1760341.57,-468.28,48146,399008
2015-05-29,1783965.79,-468.28,48146,399008
2015-06-01,1873781.62,-468.28,48146,399008
2015-06-02,1944305.51,-468.28,48146,399008
2015-06-03,1942411.50,-468.28,48146,399008
2015-06-04,1929706.35,-468.28,48146,399008
2015-06-05,1944119.39,-468.28,48146,399008
2015-06-08,1904169.36,-468.28,48146,399008
2015-06-09,1904457.13,-468.28,48146,399008
2015-06-10,1943123.12,-468.28,48146,399008
2015-06-11,1975465.86,-468.28,48146,399008
2015-06-12,1996988.06,-468.28,48146,399008
2015-06-15,1948692.53,-468.28,48146,399008
2015-06-16,1873016.82,-468.28,48146,399008
2015-06-17,1900214.00,-468.28,48146,399008
2015-06-18,1825260.08,-468.28,48146,399008
2015-06-19,1711444.41,1711444.41,49860,399008
2015-06-23,1711444.41,1711444.41,49860,NA
2015-06-24,1711444.41,1711444.41,49860,NA
2015-06-25,1711444.41,1711444.41,49860,NA
2015-06-26,1711444.41,1711444.41,49860,NA
2015-06-29,1711444.41,1711444.41,49860,NA
2015-06-30,1711444.41,1711444.41,49860,NA
2015-07-01,1711444.41,1711444.41,49860,NA
2015-07-02,1711444.41,1711444.41,49860,NA
2015-07-03,1711444.41,1711444.41,49860,NA
2015-07-06,1711444.41,1711444.41,49860,NA
2015-07-07,1711444.41,1711444.41,49860,NA
2015-07-08,1711444.41,1711444.41,49860,NA
2015-07-09,1711444.41,1711444.41,49860,NA
2015-07-10,1711444.41,1711444.41,49860,NA
2015-07-13,1711444.41,1711444.41,49860,NA
2015-07-14,1711444.41,1711444.41,49860,NA
2015-07-15,1711444.41,1711444.41,49860,NA
2015-07-16,1711444.41,1711444.41,49860,NA
2015-07-17,1711444.41,1711444.41,49860,NA
2015-07-20,1711444.41,1711444.41,49860,NA
2015-07-21,1711444.41,1711444.41,49860,NA
2015-07-22,1711444.41,1711444.41,49860,NA
2015-07-23,1711444.41,1711444.41,49860,NA
2015-07-24,1711444.41,1711444.41,49860,NA
2015-07-27,1711444.41,1711444.41,49860,NA
2015-07-28,1711444.41,1711444.41,49860,NA
2015-07-29,1711444.41,1711444.41,49860,NA
2015-07-30,1711444.41,1711444.41,49860,NA
2015-07-31,1709733.37,-1301.08,51571,NA
2015-08-03,1672236.20,-1301.08,51571,399008
2015-08-04,1753659.20,-1301.08,51571,399008
2015-08-05,1730971.47,-1301.08,51571,399008
2015-08-06,1721191.90,-1301.08,51571,399008
2015-08-07,1770742.80,-1301.08,51571,399008
2015-08-10,1846580.60,-1301.08,51571,399008
2015-08-11,1850719.14,-1301.08,51571,399008
2015-08-12,1826031.43,-1301.08,51571,399008
2015-08-13,1868017.09,-1301.08,51571,399008
2015-08-14,1873845.56,-1301.08,51571,399008
2015-08-17,1888623.09,-1301.08,51571,399008
2015-08-18,1760724.84,1760724.84,53335,399008
2015-08-19,1760724.84,1760724.84,53335,NA
2015-08-20,1760724.84,1760724.84,53335,NA
2015-08-21,1760724.84,1760724.84,53335,NA
2015-08-24,1760724.84,1760724.84,53335,NA
2015-08-25,1760724.84,1760724.84,53335,NA
2015-08-26,1760724.84,1760724.84,53335,NA
2015-08-27,1760724.84,1760724.84,53335,NA
2015-08-28,1760724.84,1760724.84,53335,NA
2015-08-31,1760724.84,1760724.84,53335,NA
2015-09-01,1760724.84,1760724.84,53335,NA
2015-09-02,1760724.84,1760724.84,53335,NA
2015-09-07,1760724.84,1760724.84,53335,NA
2015-09-08,1760724.84,1760724.84,53335,NA
2015-09-09,1760724.84,1760724.84,53335,NA
2015-09-10,1760724.84,1760724.84,53335,NA
2015-09-11,1760724.84,1760724.84,53335,NA
2015-09-14,1760724.84,1760724.84,53335,NA
2015-09-15,1760724.84,1760724.84,53335,NA
2015-09-16,1760724.84,1760724.84,53335,NA
2015-09-17,1760724.84,1760724.84,53335,NA
2015-09-18,1760724.84,1760724.84,53335,NA
2015-09-21,1760724.84,1760724.84,53335,NA
2015-09-22,1760724.84,1760724.84,53335,NA
2015-09-23,1760724.84,1760724.84,53335,NA
2015-09-24,1758967.37,1492.90,55092,NA
2015-09-25,1727129.66,-801.40,58549,399006
2015-09-28,1813728.34,-801.40,58549,399006
2015-09-29,1793473.39,-801.40,58549,399006
2015-09-30,1779884.02,-801.40,58549,399006
2015-10-08,1871914.51,-801.40,58549,399006
2015-10-09,1894439.48,-801.40,58549,399006
2015-10-12,1980047.21,-801.40,58549,399006
2015-10-13,2001641.95,-801.40,58549,399006
2015-10-14,1969976.17,-801.40,58549,399006
2015-10-15,2055074.32,-801.40,58549,399006
2015-10-16,2093119.25,-801.40,58549,399006
2015-10-19,2079925.75,-801.40,58549,399006
2015-10-20,2146243.82,-801.40,58549,399006
2015-10-21,2003951.30,-801.40,58549,399006
2015-10-22,2100906.59,-801.40,58549,399006
2015-10-23,2169516.07,-801.40,58549,399006
2015-10-26,2160191.44,-801.40,58549,399006
2015-10-27,2191382.69,-801.40,58549,399006
2015-10-28,2124074.53,-801.40,58549,399006
2015-10-29,2124109.58,-801.40,58549,399006
2015-10-30,2118125.44,-801.40,58549,399006
2015-11-02,2078591.09,-801.40,58549,399006
2015-11-03,2076224.45,-801.40,58549,399006
2015-11-04,2208789.64,-801.40,58549,399006
2015-11-05,2192035.91,-801.40,58549,399006
2015-11-06,2274705.86,-801.40,58549,399006
2015-11-09,2328747.85,-801.40,58549,399006
2015-11-10,2347549.30,-801.40,58549,399006
2015-11-11,2397197.44,-801.40,58549,399006
2015-11-12,2378918.39,-801.40,58549,399006
2015-11-13,2316386.26,-801.40,58549,399006
2015-11-16,2390772.11,-801.40,58549,399006
2015-11-17,2317635.67,-1676.72,63192,399008
2015-11-18,2271139.75,-1676.72,63192,399008
2015-11-19,2344479.71,-1676.72,63192,399008
2015-11-20,2370381.13,-1676.72,63192,399008
2015-11-23,2351174.32,-1045.56,67902,399006
2015-11-24,2385002.66,-708.88,72678,399008
2015-11-25,2427311.59,-851.24,77539,399006
2015-11-26,2373368.69,-851.24,77539,399006
2015-11-27,2219471.66,-851.24,77539,399006
2015-11-30,2238771.64,-851.24,77539,399006
2015-12-01,2224327.87,-851.24,77539,399006
2015-12-02,2184686.62,-1934.40,81916,399004
2015-12-03,2213503.95,-1569.91,86351,399008
2015-12-04,2196185.37,-1569.91,86351,399008
2015-12-07,2222532.71,-1569.91,86351,399008
2015-12-08,2176671.24,2176671.24,88531,399008
2015-12-09,2176671.24,2176671.24,88531,NA
2015-12-10,2176671.24,2176671.24,88531,NA
2015-12-11,2176671.24,2176671.24,88531,NA
2015-12-14,2174494.71,-2038.25,90708,NA
2015-12-15,2184349.77,-2038.25,90708,399004
2015-12-16,2170330.19,-1477.41,95056,399006
2015-12-17,2222931.63,-155.08,99508,399004
2015-12-18,2233214.97,-155.08,99508,399004
2015-12-21,2289292.17,-155.08,99508,399004
2015-12-22,2308391.26,-155.08,99508,399004
2015-12-23,2294184.19,-155.08,99508,399004
2015-12-24,2271219.48,-155.08,99508,399004
2015-12-25,2274799.25,-155.08,99508,399004
2015-12-28,2222817.96,-155.08,99508,399004
2015-12-29,2241624.45,-155.08,99508,399004
2015-12-30,2240110.42,-1847.54,103995,399008
2015-12-31,2194380.63,-1531.33,108391,399004
2016-01-04,2016807.65,2016807.65,110412,399004
2016-01-05,2016807.65,2016807.65,110412,NA
2016-01-06,2016807.65,2016807.65,110412,NA
2016-01-07,2016807.65,2016807.65,110412,NA
2016-01-08,2016807.65,2016807.65,110412,NA
2016-01-11,2016807.65,2016807.65,110412,NA
2016-01-12,2016807.65,2016807.65,110412,NA
2016-01-13,2016807.65,2016807.65,110412,NA
2016-01-14,2016807.65,2016807.65,110412,NA
2016-01-15,2016807.65,2016807.65,110412,NA
2016-01-18,2016807.65,2016807.65,110412,NA
2016-01-19,2016807.65,2016807.65,110412,NA
2016-01-20,2016807.65,2016807.65,110412,NA
2016-01-21,2016807.65,2016807.65,110412,NA
2016-01-22,2016807.65,2016807.65,110412,NA
2016-01-25,2016807.65,2016807.65,110412,NA
2016-01-26,2016807.65,2016807.65,110412,NA
2016-01-27,2016807.65,2016807.65,110412,NA
2016-01-28,2016807.65,2016807.65,110412,NA
2016-01-29,2016807.65,2016807.65,110412,NA
2016-02-01,2016807.65,2016807.65,110412,NA
2016-02-02,2016807.65,2016807.65,110412,NA
2016-02-03,2016807.65,2016807.65,110412,NA
2016-02-04,2016807.65,2016807.65,110412,NA
2016-02-05,2016807.65,2016807.65,110412,NA
2016-02-15,2014792.42,-437.36,112427,NA
2016-02-16,2095795.24,-437.36,112427,399006
2016-02-17,2108567.27,-437.36,112427,399006
2016-02-18,2085309.91,-437.36,112427,399006
2016-02-19,2104440.35,-437.36,112427,399006
2016-02-22,2137339.57,-437.36,112427,399006
2016-02-23,2109100.28,2109100.28,114539,399006
2016-02-24,2109100.28,2109100.28,114539,NA
2016-02-25,2109100.28,2109100.28,114539,NA
2016-02-26,2109100.28,2109100.28,114539,NA
2016-02-29,2109100.28,2109100.28,114539,NA
2016-03-01,2109100.28,2109100.28,114539,NA
2016-03-02,2106991.81,-1479.30,116647,NA
2016-03-03,2107668.01,-1259.41,120869,399008
2016-03-04,2042887.32,919.92,124959,399300
2016-03-07,2050114.32,919.92,124959,399300
2016-03-08,2051984.10,919.92,124959,399300
2016-03-09,2028378.54,919.92,124959,399300
2016-03-10,1989596.28,919.92,124959,399300
2016-03-11,1992987.36,919.92,124959,399300
2016-03-14,2024275.32,919.92,124959,399300
2016-03-15,2030274.72,919.92,124959,399300
2016-03-16,2040341.70,919.92,124959,399300
2016-03-17,2062894.56,919.92,124959,399300
2016-03-18,2094415.50,919.92,124959,399300
2016-03-21,2145548.34,919.92,124959,399300
2016-03-22,2129941.32,919.92,124959,399300
2016-03-23,2136740.64,919.92,124959,399300
2016-03-24,2100941.58,919.92,124959,399300
2016-03-25,2107261.08,-236.71,129178,399006
2016-03-28,2091663.73,-236.71,129178,399006
2016-03-29,2046836.44,-236.71,129178,399006
2016-03-30,2138355.93,-236.71,129178,399006
2016-03-31,2128373.28,-236.71,129178,399006
2016-04-01,2097069.21,-236.71,129178,399006
2016-04-05,2167586.81,-236.71,129178,399006
2016-04-06,2184249.28,-236.71,129178,399006
2016-04-07,2138261.78,-236.71,129178,399006
2016-04-08,2120430.53,-236.71,129178,399006
2016-04-11,2171032.29,-236.71,129178,399006
2016-04-12,2152842.51,-236.71,129178,399006
2016-04-13,2181371.56,-236.71,129178,399006
2016-04-14,2210261.99,-236.71,129178,399006
2016-04-15,2191874.84,-1955.91,133568,399008
2016-04-18,2162071.30,-1955.91,133568,399008
2016-04-19,2169578.77,-1955.91,133568,399008
2016-04-20,2074246.17,2074246.17,135646,399008
2016-04-21,2074246.17,2074246.17,135646,NA
2016-04-22,2074246.17,2074246.17,135646,NA
2016-04-25,2074246.17,2074246.17,135646,NA
2016-04-26,2072173.36,-639.61,137719,NA
2016-04-27,2059412.16,-1873.13,141844,399008
2016-04-28,2053951.97,2053951.97,143902,399008
2016-04-29,2053951.97,2053951.97,143902,NA
2016-05-03,2051898.87,-1191.86,145955,NA
2016-05-04,2049243.99,2049243.99,148008,399008
2016-05-05,2049243.99,2049243.99,148008,NA
2016-05-06,2049243.99,2049243.99,148008,NA
2016-05-09,2049243.99,2049243.99,148008,NA
2016-05-10,2049243.99,2049243.99,148008,NA
2016-05-11,2049243.99,2049243.99,148008,NA
