Date,Total,Cash,Hold Number,Code
2016-01-11,1000000,1000000,0,NA
2016-01-12,1000000,1000000,0,NA
2016-01-13,1000000,1000000,0,NA
2016-01-14,1000000,1000000,0,NA
2016-01-15,1000000,1000000,0,NA
2016-01-18,999001.71,707.00,998,NA
2016-01-19,1029645.46,707.00,998,399006
2016-01-20,1012640.43,707.00,998,399006
2016-01-21,969330.84,969330.84,1968,399006
2016-01-22,968363.53,1049.83,2935,NA
2016-01-25,970578.14,-435.78,4878,399008
2016-01-26,899529.66,899529.66,5779,399008
2016-01-27,899529.66,899529.66,5779,NA
2016-01-28,899529.66,899529.66,5779,NA
2016-01-29,899529.66,899529.66,5779,NA
2016-02-01,899529.66,899529.66,5779,NA
2016-02-02,898631.06,31.79,6677,NA
2016-02-03,905223.92,31.79,6677,399006
2016-02-04,920865.17,31.79,6677,399006
2016-02-05,908026.72,31.79,6677,399006
2016-02-15,916622.64,31.79,6677,399006
2016-02-16,953465.31,31.79,6677,399006
2016-02-17,957358.11,269.58,8593,399008
2016-02-18,953310.59,269.58,8593,399008
2016-02-19,957221.77,2126.84,10507,399610
2016-02-22,971568.46,-232.37,12451,399008
2016-02-23,966528.29,-232.37,12451,399008
2016-02-24,965371.03,-232.37,12451,399008
2016-02-25,890414.31,890414.31,13342,399008
2016-02-26,890414.31,890414.31,13342,NA
2016-02-29,890414.31,890414.31,13342,NA
2016-03-01,890414.31,890414.31,13342,NA
2016-03-02,890414.31,890414.31,13342,NA
2016-03-03,889524.31,-476.49,14232,NA
2016-03-04,899845.50,-476.49,14232,399300
2016-03-07,903031.95,-476.49,14232,399300
2016-03-08,903856.35,-476.49,14232,399300
2016-03-09,893448.44,-476.49,14232,399300
2016-03-10,875472.17,875472.17,15109,399300
2016-03-11,874597.61,36.37,15984,NA
2016-03-14,914490.22,36.37,15984,399006
2016-03-15,901741.60,901741.60,16886,399006
2016-03-16,900842.40,1642.80,17785,NA
2016-03-17,908969.04,996.59,19602,399006
2016-03-18,948370.04,996.59,19602,399006
2016-03-21,969756.38,996.59,19602,399006
2016-03-22,967436.96,996.59,19602,399006
2016-03-23,983707.70,996.59,19602,399006
2016-03-24,966596.54,996.59,19602,399006
2016-03-25,963067.22,290.08,21529,399008
2016-03-28,957443.45,957443.45,22487,399008
2016-03-29,957443.45,957443.45,22487,NA
2016-03-30,956486.68,-277.82,23444,NA
2016-03-31,957208.25,-277.82,23444,399008
2016-04-01,947482.54,245.41,25341,399300
2016-04-05,958088.44,1997.99,27257,399610
2016-04-06,957634.64,-231.45,29172,399006
2016-04-07,935595.88,-597.83,31046,399008
2016-04-08,926291.37,1569.79,32900,399610
2016-04-11,939201.19,829.42,34778,399006
2016-04-12,930409.48,930409.48,35708,399006
2016-04-13,929479.99,-14.16,36638,NA
2016-04-14,931732.26,-349.73,38503,399006
2016-04-15,925830.34,-349.73,38503,399006
2016-04-18,907244.56,907244.56,39412,399006
2016-04-19,906337.63,-588.64,40319,NA
2016-04-20,866522.64,866522.64,41187,399008
2016-04-21,866522.64,866522.64,41187,NA
2016-04-22,866522.64,866522.64,41187,NA
2016-04-25,866522.64,866522.64,41187,NA
2016-04-26,866522.64,866522.64,41187,NA
2016-04-27,865657.46,479.97,42052,NA
2016-04-28,863246.59,1154.99,43778,399006
2016-04-29,854939.02,-734.00,45490,399337
2016-05-03,877459.84,-563.24,47248,399006
2016-05-04,873250.39,-683.76,48997,399008
2016-05-05,879442.30,-683.76,48997,399008
2016-05-06,846011.79,-683.76,48997,399008
2016-05-09,818161.56,818161.56,49817,399008
2016-05-10,818161.56,818161.56,49817,NA
2016-05-11,818161.56,818161.56,49817,NA
2016-05-12,818161.56,818161.56,49817,NA
2016-05-13,818161.56,818161.56,49817,NA
2016-05-16,817344.33,115.94,50634,NA
2016-05-17,814949.59,115.94,50634,399008
2016-05-18,792979.88,-318.34,52222,399610
2016-05-19,797179.96,-318.34,52222,399610
2016-05-20,800652.93,-683.86,53826,399006
2016-05-23,813430.93,-683.86,53826,399006
2016-05-24,803808.34,803808.34,54631,399006
2016-05-25,803006.24,911.69,55433,NA
2016-05-26,810282.41,911.69,55433,399006
2016-05-27,802424.52,2985.64,57036,399610
2016-05-30,801588.60,801588.60,57835,399610
2016-05-31,800791.41,3603.65,58632,NA
2016-06-01,803926.39,3603.65,58632,399610
2016-06-02,808086.91,3603.65,58632,399610
2016-06-03,815214.58,-625.80,60261,399006
2016-06-06,811490.91,573.11,61886,399008
2016-06-07,809633.19,573.11,61886,399008
2016-06-08,810391.07,573.11,61886,399008
2016-06-13,770905.41,770905.41,62657,399008
2016-06-14,770905.41,770905.41,62657,NA
2016-06-15,770905.41,770905.41,62657,NA
2016-06-16,770905.41,770905.41,62657,NA
2016-06-17,770905.41,770905.41,62657,NA
2016-06-20,770135.37,96.11,63427,NA
2016-06-21,762060.03,96.11,63427,399008
2016-06-22,774107.27,96.11,63427,399008
2016-06-23,769533.46,38.86,64967,399006
2016-06-24,765889.90,38.86,64967,399006
2016-06-27,789089.02,38.86,64967,399006
2016-06-28,798054.46,38.86,64967,399006
2016-06-29,795562.54,38.86,64967,399006
2016-06-30,802043.26,38.86,64967,399006
2016-07-01,796062.58,38.86,64967,399006
2016-07-04,807958.06,374.67,66585,399300
2016-07-05,808634.93,374.67,66585,399300
2016-07-06,811009.02,374.67,66585,399300
2016-07-07,807666.50,-3.48,68201,399008
2016-07-08,806153.45,-3.48,68201,399008
2016-07-11,800741.87,800741.87,69003,399008
2016-07-12,799941.58,-352.85,69803,NA
2016-07-13,803768.34,1636.05,71411,399337
2016-07-14,802348.99,3983.29,73012,399610
2016-07-15,798311.19,1729.92,74604,399004
2016-07-18,791427.16,3377.64,76183,399610
2016-07-19,794817.51,3377.64,76183,399610
2016-07-20,796556.34,3377.64,76183,399610
2016-07-21,799019.16,3377.64,76183,399610
2016-07-22,799402.24,3377.64,76183,399610
2016-07-25,802478.05,3377.64,76183,399610
2016-07-26,809687.56,3377.64,76183,399610
2016-07-27,776333.64,776333.64,76957,399610
2016-07-28,776333.64,776333.64,76957,NA
2016-07-29,776333.64,776333.64,76957,NA
2016-08-01,776333.64,776333.64,76957,NA
2016-08-02,776333.64,776333.64,76957,NA
2016-08-03,776333.64,776333.64,76957,NA
2016-08-04,776333.64,776333.64,76957,NA
2016-08-05,775559.98,1897.92,77731,NA
2016-08-08,785372.19,1897.92,77731,399004
2016-08-09,792791.47,1897.92,77731,399004
2016-08-10,787070.36,1897.92,77731,399004
2016-08-11,780033.03,793.27,79290,399300
2016-08-12,794703.43,793.27,79290,399300
2016-08-15,818608.22,793.27,79290,399300
2016-08-16,813326.71,3871.88,80913,399004
2016-08-17,812095.74,3871.88,80913,399004
2016-08-18,810597.19,3871.88,80913,399004
2016-08-19,807361.38,493.88,82525,399006
2016-08-22,792969.01,792969.01,83319,399006
2016-08-23,792969.01,792969.01,83319,NA
2016-08-24,792969.01,792969.01,83319,NA
2016-08-25,792969.01,792969.01,83319,NA
2016-08-26,792969.01,792969.01,83319,NA
2016-08-29,792177.27,432.07,84110,NA
2016-08-30,793018.76,432.07,84110,399006
2016-08-31,790078.89,3490.29,85688,399004
2016-09-01,780387.28,448.24,87247,399337
2016-09-02,775214.05,-288.62,88798,399300
2016-09-05,776516.50,-288.62,88798,399300
2016-09-06,780323.87,745.24,90360,399004
2016-09-07,775664.52,-766.09,91913,399006
2016-09-08,779671.18,-766.09,91913,399006
2016-09-09,772475.33,-766.09,91913,399006
2016-09-12,751573.43,751573.43,92666,399006
2016-09-13,751573.43,751573.43,92666,NA
2016-09-14,751573.43,751573.43,92666,NA
2016-09-19,751573.43,751573.43,92666,NA
2016-09-20,751573.43,751573.43,92666,NA
2016-09-21,750823.32,710.80,93416,NA
2016-09-22,751997.86,84.91,94921,399004
2016-09-23,745242.95,84.91,94921,399004
2016-09-26,729309.46,729309.46,95651,399004
2016-09-27,729309.46,729309.46,95651,NA
2016-09-28,729309.46,729309.46,95651,NA
2016-09-29,729309.46,729309.46,95651,NA
2016-09-30,729309.46,729309.46,95651,NA
2016-10-10,728580.66,-214.11,96380,NA
2016-10-11,729370.02,-214.11,96380,399006
2016-10-12,727525.59,369.23,97836,399610
2016-10-13,729287.91,369.23,97836,399610
2016-10-14,724572.29,369.23,97836,399610
2016-10-17,715263.76,715263.76,98552,399610
